"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9RHA4S4N","book","2022","Vora, Ellen","The anatomy of anxiety: understanding and overcoming the body's fear response","","978-0-06-307509-2","","","","","2022","2025-03-21 18:56:09","2025-03-21 19:06:27","","","337","","","","","The anatomy of anxiety","","","","","Harper Wave, an imprint of HarperCollins Publishers","New York, NY","","","","","","Library Catalog (Blacklight)","BF575.A6 V67 2022","OCLC: 1257019595","","","https://catalog.libraries.psu.edu/catalog/37403351","physical","Anxiety; Mind and body; Treatment","","","","","","","","","","","","","","","","","","","","First edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQJMS53R","book","1970","Sugarman, Daniel A.; Freeman, Lucy","The search for serenity: understanding and overcoming anxiety","","","","","","","1970","2025-03-21 18:57:37","2025-03-21 19:06:38","","","355","","","","","The search for serenity","","","","","Macmillan","New York","","","","","","Library Catalog (Blacklight)","BF575.A6 S9 1970","","","","https://catalog.libraries.psu.edu/catalog/631534","physical","Anxiety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJSILQJB","book","2004","Lazare, Aaron","On apology","","978-0-19-517343-7","","","","","2004","2025-03-21 18:58:07","2025-03-21 19:06:02","","","306","","","","","","","","","","Oxford University Press","New York","","","","","","Library Catalog (Blacklight)","BF575.A75 L39 2004","OCLC: 56661526","","","https://catalog.libraries.psu.edu/catalog/2769850","physical","Apologizing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7NIWK7J","book","1977","May, Rollo","The meaning of anxiety","","978-0-393-01136-4","","","","","1977","2025-03-21 18:58:38","2025-03-21 19:06:33","","","425","","","","","","","","","","Norton","New York","","","","","","Library Catalog (Blacklight)","BF575.A6 M35 1977","","","","https://catalog.libraries.psu.edu/catalog/1182230","physical","Anxiety","","","","","","","","","","","","","","","","","","","","Rev. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S33UAHGB","book","2008","Smith, Nick","I was wrong: the meanings of apologies","","978-0-521-86552-4 978-0-521-68423-1","","","","","2008","2025-03-21 18:59:13","2025-03-21 19:05:56","","","298","","","","","I was wrong","","","","","Cambridge University Press","Cambridge ; New York","","","","","","Library Catalog (Blacklight)","BF575.A75 S65 2008","","","","https://catalog.libraries.psu.edu/catalog/4435211","physical","Apologizing; Ethics; Verontschuldiging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSX78ZQT","book","1978","Bower, Sharon Anthony; Bower, Gordon H.","Asserting yourself: a practical guide for positive change","","978-0-201-00837-1 978-0-201-00838-8","","","","","1978","2025-03-21 19:00:51","2025-03-21 19:05:41","","","244","","","","","Asserting yourself","","","","","Addison-Wesley Pub. Co","Reading, Mass","","","","","","Library Catalog (Blacklight)","BF575.A85 B68","","","","https://catalog.libraries.psu.edu/catalog/1654201","physical","Assertiveness (Psychology); Problems, exercises, etc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNYQWZV8","book","1995","Leary, Mark R.; Kowalski, Robin M.","Social anxiety","","978-1-57230-007-1","","","","","1995","2025-03-21 19:01:21","2025-03-21 19:06:23","","","244","","","","","","Emotions and social behavior","","","","Guilford Press","New York","","","","","","Library Catalog (Blacklight)","BF575.A6 L387 1995","","","","https://catalog.libraries.psu.edu/catalog/1968281","physical","Anxiety; Interpersonal relations; Self-presentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMBAR3R6","book","2021","Khouri, Hala","Peace from anxiety: get grounded, build resilience, and stay connected amidst the chaos","","978-1-61180-810-0","","","","""Anxiety, stress, overwhelm...most of us experience these feelings at some point. The challenges in our own lives can feel like they threaten to overpower us. And the struggles we see in the world further add to the burden. Peace from Anxiety helps us understand the deep roots of our suffering and work toward finding more peace even in the midst of what can seem like chaos. Author Hala Khouri takes readers on a journey to investigate our personal habits and lives to understand and transform what doesn't serve us. Even though the roots of our anxiety, stress, and pain may feel complicated, healing doesn't have to be. Hala explores how our brain and nervous system experience stress and discusses how we can begin to get in touch with our body to better understand its signals and how to handle them. She delves deeply into some of our primary sources of anxiety and offers practical tools for releasing stress and being present with discomfort. The book discusses topics including trauma, relationships, technology, and it also discusses working not only for individual healing but also collective healing in our world. Filled with relatable stories and examples, each chapter offers a range of practices and tools to help us find more peace and work for good in our own lives and the lives of others""--","2021","2025-03-21 19:01:54","2025-03-21 19:06:17","","","247","","","","","Peace from anxiety","","","","","Shambhala Publications, Inc","Boulder, Colorado","","","","","","Library Catalog (Blacklight)","BF575.A6 K55 2021","OCLC: 1178638184","","","https://catalog.libraries.psu.edu/catalog/35860785","physical","Anxiety; PSYCHOLOGY / General; Self-help publications; Stress (Psychology); Stress management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKH69VSP","book","1972","Izard, Carroll E.; Bartlett, Edmund S.; Marshall, Alan G.","Patterns of emotions: a new analysis of anxiety and depression","","978-0-12-377750-8","","","","","1972","2025-03-21 19:02:18","2025-03-21 19:06:09","","","301","","","","","Patterns of emotions","","","","","Academic Press","New York","","","","","","Library Catalog (Blacklight)","BF575.A6 I9","","","","https://catalog.libraries.psu.edu/catalog/1346361","physical","Anxiety; Depression, Mental; Emotions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S2AJYGMI","book","2001","Greene, Don","Fight your fear and win: seven skills for performing your best under pressure: at work, in sports, on stage","","978-0-7679-0625-8","","","","","2001","2025-03-21 19:02:40","2025-03-21 19:05:49","","","228","","","","","Fight your fear and win","","","","","Broadway Books","New York","","","","","","Library Catalog (Blacklight)","BF575.A6 G665 2001","","","","https://catalog.libraries.psu.edu/catalog/2190000","physical","Performance anxiety; Psychological aspects; Self-help techniques; Success","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RGTWZU9","webpage","","","Penn State University Libraries Catalog","","","","","https://catalog.libraries.psu.edu/","","","2025-03-24 18:39:55","2025-03-24 18:39:55","2025-03-24 18:39:55","","","","","","","","","","","","","","","","","","","","","","","/Users/iphone14/Zotero/storage/I5M96RKR/catalog.libraries.psu.edu.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZQPN59Z","book","1993","Berent, Jonathan; Lemley, Amy","Beyond shyness: how to conquer social anxieties","","978-0-671-74137-2","","","","","1993","2025-03-24 18:41:46","2025-03-24 18:43:29","","","285","","","","","Beyond shyness","","","","","Simon & Schuster","New York","","","","","","Library Catalog (Blacklight)","BF575.A6 B47 1993","","","","https://catalog.libraries.psu.edu/catalog/1634448","interlibrary","Anxiety; Bashfulness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
